tarikh,nama_kluster,kategori_kluster,daerah
2021-05-18,Jalan Sri Putri Empat,Pendidikan,Kulai
2021-05-18,Jalan Sri Putri Empat,Pendidikan,Pontian
2021-05-18,Jalan Batu Dua,Keagamaan,Port Dickson
2021-05-18,Kampung Kemuning,Keagamaan,Alor Gajah
2021-05-18,Banggol,Keagamaan,Setiu
2021-05-18,Jalan Bukit Mutiara,Keagamaan,Johor Bahru
2021-05-18,Dah Arked,Tempat Kerja,Baling
2021-05-18,Dah Helang,Tempat Kerja,Langkawi
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Timur Laut
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Barat Daya
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Seberang Perai Utara
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Seberang Perai Tengah
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Seberang Perai Selatan
2021-05-18,Jalan Kampung Taib,Tempat Kerja,Hulu Selangor
2021-05-18,Utarid Sembilan Belas,Tempat Kerja,Petaling
2021-05-18,Jalan Besi Satu,Tempat Kerja,Johor Bahru
2021-05-18,Jalan Petaling Industri,Tempat Kerja,Johor Bahru
2021-05-18,Jalan Helang Siput,Keagamaan,Kepong
2021-05-19,Kolopis,Komuniti,Penampang
2021-05-19,Jalan Inang,Komuniti,Melaka Tengah
2021-05-19,Jalan Kenanga Pertama,Keagamaan,Sabak Bernam
2021-05-19,Jalan Pusara,Keagamaan,Sepang
2021-05-19,Kampung Batu Tiga,Keagamaan,Batang Padang
2021-05-19,Kampung Batu Tiga,Keagamaan,Kuala Kangsar
2021-05-19,Taman Sri Rampai,Keagamaan,Titiwangsa
2021-05-19,Kampung Keranji,Keagamaan,Pasir Mas
2021-05-19,Jalan Senduduk Satu,Pendidikan,Johor Bahru
2021-05-19,Muhibbah Dua,Komuniti,Lahad Datu
2021-05-19,Jalan Timah Empat,Keagamaan,Johor Bahru
2021-05-19,Pagar Sungai Imam,Komuniti,Tawau
2021-05-19,Jalan 223 PJ,Tempat Kerja,Petaling
2021-05-19,Kampung Tanjong Jejulok,Komuniti,Pasir Mas
2021-05-19,Industri Bukit Raja,Tempat Kerja,Klang
2021-05-19,Jalan Endap Sawit,Tempat Kerja,Samarahan
2021-05-19,Jalan Endap Sawit,Tempat Kerja,Serian
2021-05-19,Jalan Endap Sawit,Tempat Kerja,Kuching
2021-05-19,Jalan Tanjung Kupang,Tempat Kerja,Johor Bahru
2021-05-19,Jalan Tuan Hitam,Tempat Kerja,Besut
2021-05-19,Kampung Limau,Komuniti,Lembah Pantai
2021-05-19,Victoria Merdeka,Tempat Kerja,Labuan
2021-05-19,Jalan Kampung Bakau,Tempat Kerja,Kangar
2021-05-19,Stunggang,Komuniti,Lundu
2021-05-19,Paya Rumput Utama,Tempat Kerja,Melaka Tengah
2021-05-20,Kandis,Pendidikan,Bachok
2021-05-20,Taman Maju Jaya,Keagamaan,Batu Pahat
2021-05-20,Sri Tanjung,Komuniti,Bentong
2021-05-20,Jalan Dara,Komuniti,Maran
2021-05-20,Batu Lapan Bukit Rambai,Komuniti,Melaka Tengah
2021-05-20,Batu Lapan Bukit Rambai,Komuniti,Jasin
2021-05-20,Padang Lalang Dua,Komuniti,Seberang Perai Tengah
2021-05-20,Dah Insun,Komuniti,Pendang
2021-05-20,Dah Insun,Komuniti,Kuala Muda
2021-05-20,Kampung Tebakang,Komuniti,Serian
2021-05-20,Kenyalang Park,Komuniti,Kuching
2021-05-20,Kenyalang Park,Komuniti,Samarahan
2021-05-20,Jalan Kretam Silimpopom,Keagamaan,Kalabakan
2021-05-20,Dah Berapit,Keagamaan,Kuala Muda
2021-05-20,Dah Berapit,Keagamaan,Kulim
2021-05-20,Tok Dor,Kumpulan Berisiko Tinggi,Setiu
2021-05-20,Tok Dor,Kumpulan Berisiko Tinggi,Kuala Nerus
2021-05-20,Tok Dor,Kumpulan Berisiko Tinggi,Besut
2021-05-20,Jalan Perwira Lapan,Keagamaan,Johor Bahru
2021-05-20,Jalan Iskandar,Keagamaan,Klang
2021-05-20,Taman Sri Muda,Keagamaan,Klang
2021-05-20,Jalan Makasar,Tempat Kerja,Kluang
2021-05-20,Teknologi Juru,Tempat Kerja,Sebarang Perai Tengah
2021-05-20,Jalan Kampung Juru,Tempat Kerja,Seberang Perai Tengah
2021-05-20,Jalan Kampung Juru,Tempat Kerja,Seberang Perai Selatan
2021-05-20,Jalan Bunga Azalea,Tempat Kerja,Hulu Selangor
2021-05-20,Jalan Tun Fuad,Tempat Kerja,Kota Kinabalu
2021-05-20,Jalan Tun Fuad,Tempat Kerja,Penampang
2021-05-20,Jalan Tun Fuad,Tempat Kerja,Putatan
2021-05-20,Jalan Pengalat Lok Kawi,Tempat Kerja,Papar
2021-05-20,Jalan Pengalat Lok Kawi,Tempat Kerja,Kota Kinabalu
2021-05-20,Jalan Dato Dol Said,Tempat Kerja,Alor Gajah
2021-05-20,Jalan Dato Dol Said,Tempat Kerja,Jasin
2021-05-20,Bukit Tempayan,Tempat Kerja,Melaka Tengah
2021-05-20,Lorong Karamunsing,Tempat Kerja,Kota Kinabalu
2021-05-20,Lorong Karamunsing,Tempat Kerja,Putatan
2021-05-20,Lorong Karamunsing,Tempat Kerja,Penampang
2021-05-20,Lorong Karamunsing,Tempat Kerja,Tuaran
2021-05-21,Jalan Kota Raja,Keagamaan,Klang
2021-05-21,Simpang Sahari,Komuniti,Labuan
2021-05-21,Jalan Tanjung Minyak,Komuniti,Melaka Tengah
2021-05-21,Susur Larut,Komuniti,Larut
2021-05-21,Susur Larut,Komuniti,Matang
2021-05-21,Susur Larut,Komuniti,Selama
2021-05-21,Jalan Surau Stulang,Keagamaan,Johor Bahru
2021-05-21,Taman Setiawangsa,Keagamaan,Titiwangsa
2021-05-21,Sri Penara,Keagamaan,Cheras
2021-05-21,Kampung Mujahidin,Keagamaan,Kuala Langat
2021-05-21,Industri Kelemak,Tempat Kerja,Alor Gajah
2021-05-21,Jalan Selat,Tempat Kerja,Manjung
2021-05-21,Industri Senawang,Tempat Kerja,Kuala Pilah
2021-05-21,Sungai Keluang 2,Tempat Kerja,Barat Daya
2021-05-21,Sungai Keluang 2,Tempat Kerja,Timur Laut
2021-05-21,Sungai Keluang 2,Tempat Kerja,Seberang Perai Tengah
2021-05-21,Jalan Mengkibol,Tempat Kerja,Kluang
2021-05-21,Jalan Datin Halimah,Tempat Kerja,Johor Bahru
2021-05-21,Jalan Simpang Tiga,Tempat Kerja,Kuching
2021-05-21,Jalan Simpang Tiga,Tempat Kerja,Samarahan
2021-05-21,Jalan Simpang Tiga,Tempat Kerja,Serian
2021-05-21,Jalan Simpang Tiga,Tempat Kerja,Asajaya
2021-05-21,Jalan Wan Kadir,Tempat Kerja,Kepong
2021-05-21,Jalan Wan Kadir,Tempat Kerja,Lembah Pantai
2021-05-21,Jalan Wan Kadir,Tempat Kerja,Titiwangsa
2021-05-21,Jalan Wan Kadir,Tempat Kerja,Cheras
2021-05-21,Jalan Wan Kadir,Tempat Kerja,Klang
2021-05-21,Industri Balakong Tiga,Tempat Kerja,Hulu Langat
2021-05-21,Industri Balakong Tiga,Tempat Kerja,Sepang
2021-05-21,Industri Balakong Tiga,Tempat Kerja,Petaling
2021-05-21,Persiaran Perbandaran,Tempat Kerja,Petaling
2021-05-21,Persiaran Perbandaran,Tempat Kerja,Klang
2021-05-21,Persiaran Perbandaran,Tempat Kerja,Hulu Langat
2021-05-22,Taman Sungai Jelok,Kumpulan Berisiko Tinggi,Hulu Langat
2021-05-22,Kampung Gau,Keagamaan,Temerloh
2021-05-22,Lembah Keramat,Keagamaan,Titiwangsa
2021-05-22,Melikai,Komuniti,Kuala Penyu
2021-05-22,Melikai,Komuniti,Labuan
2021-05-22,Indani,Komuniti,Semporna
2021-05-22,Abaka,Komuniti,Tawau
2021-05-22,Redong Satu,Komuniti,Segamat
2021-05-22,Kepulauan Tumpat,Komuniti,Tumpat
2021-05-22,Kepulauan Tumpat,Komuniti,Pasir Mas
2021-05-22,Kampung Bakong Kecil,Komuniti,Pasir Mas
2021-05-22,Industri Batu Berendam,Tempat Kerja,Melaka Tengah
2021-05-22,Industri Batu Berendam,Tempat Kerja,Alor Gajah
2021-05-22,Jalan Bypass Kuantan,Tempat Kerja,Kuantan
2021-05-22,Sungai Batu,Tempat Kerja,Raub
2021-05-22,Industri Nibong Tebal,Tempat Kerja,Seberang Perai Selatan
2021-05-22,Industri Nibong Tebal,Tempat Kerja,Barat Daya
2021-05-22,Jalan Pantai Port Dickson,Tempat Kerja,Port Dickson
2021-05-22,Jalan Laman Setia Tujuh,Tempat Kerja,Johor Bahru
2021-05-22,Jalan Cemerlang Empat,Tempat Kerja,Kuala Langat
2021-05-22,Taman Kesang Indah,Komuniti,Jasin
2021-05-22,Taman Kesang Indah,Komuniti,Melaka Tengah
2021-05-22,Taman Kesang Indah,Komuniti,Muar
2021-05-23,Jalan Mangga,Komuniti,Kota Kinabalu
2021-05-23,Kampung Jakar,Komuniti,Machang
2021-05-23,Taman Sourabaya Indah,Komuniti,Kuching
2021-05-23,Kampung Panggong,Komuniti,Pasir Puteh
