tarikh,nama_kluster,kategori_kluster,negeri
2021-05-29,Jalan Istimewa Satu,Tempat Kerja,Johor
2021-05-30,Jalan Sri Putri 11,Komuniti,Johor
2021-05-30,Desa Melawati,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-05-30,Kolej Bunga Raya,Pendidikan,WP Kuala Lumpur
2021-05-30,Kampung Pagi,Keagamaan,Pahang
2021-05-30,Sungai Ular,Komuniti,Terengganu
2021-05-30,Sungai Parik,Komuniti,Sarawak
2021-05-30,Gerigat,Komuniti,Sarawak
2021-05-30,Taman Wahyu,Komuniti,Kelantan
2021-05-30,Jalan Laksamana Tiga,Keagamaan,Johor
2021-05-30,Jalan Veterinari,Komuniti,Pulau Pinang
2021-05-30,Industri Dioh,Tempat Kerja,Negeri Sembilan
2021-05-30,Lorong Jelawat Dua,Tempat Kerja,Pulau Pinang
2021-05-30,Taman Industri Pelabuhan,Tempat Kerja,Perak
2021-05-30,Perindustrian Batu Caves,Tempat Kerja,WP Kuala Lumpur
2021-05-30,Balakong Batu Dua Belas,Tempat Kerja,Selangor
2021-05-30,Jalan Kasuarina,Tempat Kerja,Selangor
2021-05-30,Kampung Tanjong Chenok,Komuniti,Kelantan
2021-05-31,Industri Bukit Minyak Tujuh,Tempat Kerja,Pulau Pinang
2021-05-31,Lintang Bayan Lepas Enam,Tempat Kerja,Pulau Pinang
2021-05-31,Tapak Bina Klebang,Tempat Kerja,Melaka
2021-05-31,Jalan Mahsuri Kluang,Tempat Kerja,Johor
2021-05-31,Jalan Sierra Perdana Empat,Tempat Kerja,Johor
2021-05-31,Dah PKNK 3/8,Tempat Kerja,Kedah
2021-05-31,Industri Indera Mahkota 14,Tempat Kerja,Pahang
2021-05-31,Jalan Coastal Bintulu-Miri,Tempat Kerja,Sarawak
2021-05-31,Jalan Perusahaan Dua Lima,Tempat Kerja,Selangor
2021-05-31,Perindustrian Trisegi,Tempat Kerja,WP Kuala Lumpur
2021-05-31,Muara Tabuan,Tempat Kerja,Sarawak
2021-05-31,Langgar Hilir,Komuniti,Terengganu
2021-05-31,Jalan Sudirman,Tempat Kerja,Pahang
2021-05-31,Jalan Pantai Permai,Komuniti,WP Kuala Lumpur
2021-05-31,Kampung Gelong Badak,Komuniti,Kelantan
2021-05-31,Tok Jawa,Komuniti,Kelantan
